"ID","age","race","gender","know","lang","item","response","task"
"100A",37,"Asian","female","Knowledgeable","Generic","K_Check1",1,"know_check"
"100A",37,"Asian","female","Knowledgeable","Generic","K_Check2",1,"know_check"
"100A",37,"Asian","female","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"100A",37,"Asian","female","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"100A",37,"Asian","female","Knowledgeable","Generic","q_flex1",1,"flexibility"
"100A",37,"Asian","female","Knowledgeable","Generic","q_flex2",1,"flexibility"
"100A",37,"Asian","female","Knowledgeable","Generic","q_flex3",1,"flexibility"
"100A",37,"Asian","female","Knowledgeable","Generic","q_cat1",0,"category"
"100A",37,"Asian","female","Knowledgeable","Generic","q_cat2",1,"category"
"100A",37,"Asian","female","Knowledgeable","Generic","q_cat3",NA,"category"
"100A",37,"Asian","female","Knowledgeable","Generic","q_homo1",5,"homogeneity"
"100A",37,"Asian","female","Knowledgeable","Generic","q_homo2",3,"homogeneity"
"101A",60,"White","female","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"101A",60,"White","female","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"101A",60,"White","female","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"101A",60,"White","female","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"101A",60,"White","female","Unknowledgeable","Generic","q_flex1",0,"flexibility"
"101A",60,"White","female","Unknowledgeable","Generic","q_flex2",0,"flexibility"
"101A",60,"White","female","Unknowledgeable","Generic","q_flex3",0,"flexibility"
"101A",60,"White","female","Unknowledgeable","Generic","q_cat1",0,"category"
"101A",60,"White","female","Unknowledgeable","Generic","q_cat2",1,"category"
"101A",60,"White","female","Unknowledgeable","Generic","q_cat3",1,"category"
"101A",60,"White","female","Unknowledgeable","Generic","q_homo1",2,"homogeneity"
"101A",60,"White","female","Unknowledgeable","Generic","q_homo2",2,"homogeneity"
"102A",30,"White","female","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"102A",30,"White","female","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"102A",30,"White","female","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"102A",30,"White","female","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"102A",30,"White","female","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"102A",30,"White","female","Unknowledgeable","Specific","q_flex2",0,"flexibility"
"102A",30,"White","female","Unknowledgeable","Specific","q_flex3",0,"flexibility"
"102A",30,"White","female","Unknowledgeable","Specific","q_cat1",0,"category"
"102A",30,"White","female","Unknowledgeable","Specific","q_cat2",1,"category"
"102A",30,"White","female","Unknowledgeable","Specific","q_cat3",1,"category"
"102A",30,"White","female","Unknowledgeable","Specific","q_homo1",3,"homogeneity"
"102A",30,"White","female","Unknowledgeable","Specific","q_homo2",4,"homogeneity"
"103A",24,"Black or African American","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"103A",24,"Black or African American","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"103A",24,"Black or African American","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"103A",24,"Black or African American","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_flex1",1,"flexibility"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_flex2",0,"flexibility"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_flex3",0,"flexibility"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_cat1",0,"category"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_cat2",1,"category"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_cat3",1,"category"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_homo1",4,"homogeneity"
"103A",24,"Black or African American","male","Knowledgeable","Generic","q_homo2",3,"homogeneity"
"104A",32,"Asian","male","Knowledgeable","Specific","K_Check1",1,"know_check"
"104A",32,"Asian","male","Knowledgeable","Specific","K_Check2",1,"know_check"
"104A",32,"Asian","male","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"104A",32,"Asian","male","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"104A",32,"Asian","male","Knowledgeable","Specific","q_flex1",0,"flexibility"
"104A",32,"Asian","male","Knowledgeable","Specific","q_flex2",0,"flexibility"
