"ID","gender","age_floor","center_age","age_exact","race","know","lang","item","response","task"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","soundcheck",1,"soundcheck"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","K_Check1",1,"know_check"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","K_Check2",1,"know_check"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex1",0,"flexibility"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex2",1,"flexibility"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex3",1,"flexibility"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat1",0,"category"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat2",1,"category"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat3",1,"category"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_homo1",5,"homogeneity"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_homo2",5,"homogeneity"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","soundcheck",1,"soundcheck"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex1",NA,"flexibility"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex2",1,"flexibility"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex3",1,"flexibility"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_cat1",0,"category"
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_cat2",0,"category"
